Date,Advertising_Spend,Customers,Sales
2020-09-11,15,90,847
2020-09-12,91,20,753
2020-09-13,78,160,708
2020-09-14,56,198,814
2020-09-15,34,142,739
2020-09-16,75,81,804
2020-09-17,19,51,945
2020-09-18,65,177,970
2020-09-19,39,48,882
2020-09-20,14,68,773
2020-09-21,42,192,879
2020-09-22,74,49,975
2020-09-23,27,163,778
2020-09-24,58,187,781
2020-09-25,20,38,987
2020-09-26,94,37,836
2020-09-27,35,20,947
2020-09-28,72,97,769
2020-09-29,98,134,682
2020-09-30,95,194,983
2020-10-01,68,132,1007
2020-10-02,36,133,778
2020-10-03,58,185,918
2020-10-04,86,198,804
2020-10-05,42,82,953
2020-10-06,10,151,756
2020-10-07,30,148,922
2020-10-08,64,27,913
2020-10-09,15,176,807
2020-10-10,90,74,1011
2020-10-11,78,122,779
2020-10-12,14,150,729
2020-10-13,12,51,1040
2020-10-14,62,29,675
2020-10-15,32,129,1060
2020-10-16,62,181,981
2020-10-17,46,143,933
2020-10-18,83,106,821
2020-10-19,83,74,720
2020-10-20,92,51,845
2020-10-21,26,197,696
2020-10-22,94,154,922
2020-10-23,87,112,790
2020-10-24,82,27,840
2020-10-25,10,84,999
2020-10-26,60,76,905
2020-10-27,54,86,830
2020-10-28,86,91,853
2020-10-29,13,73,757
2020-10-30,71,86,825
2020-10-31,74,70,868
2020-11-01,41,116,825
2020-11-02,43,111,786
2020-11-03,81,27,826
2020-11-04,48,181,819
2020-11-05,35,54,1057
2020-11-06,43,115,973
2020-11-07,63,107,948
2020-11-08,12,97,835
2020-11-09,59,51,824
2020-11-10,21,139,880
2020-11-11,74,65,1078
2020-11-12,63,163,1115
2020-11-13,14,184,1099
2020-11-14,66,161,1073
2020-11-15,26,74,931
2020-11-16,56,195,1049
2020-11-17,32,26,904
2020-11-18,88,93,951
2020-11-19,94,26,914
2020-11-20,23,180,908
2020-11-21,75,170,817
2020-11-22,84,104,1040
2020-11-23,60,166,1151
2020-11-24,47,131,1032
2020-11-25,73,144,1061
2020-11-26,47,166,1143
2020-11-27,59,55,1153
2020-11-28,91,48,898
2020-11-29,39,101,960
2020-11-30,88,21,895
2020-12-01,60,148,802
2020-12-02,72,66,947
2020-12-03,61,167,1144
2020-12-04,47,30,1150
2020-12-05,97,149,799
2020-12-06,88,138,1017
2020-12-07,39,159,939
2020-12-08,60,39,821
2020-12-09,90,24,1015
2020-12-10,14,56,1152
2020-12-11,38,185,840
2020-12-12,13,156,1055
2020-12-13,19,72,1076
2020-12-14,65,191,822
2020-12-15,26,118,1023
2020-12-16,83,105,1076
2020-12-17,26,127,1087
2020-12-18,93,43,900
2020-12-19,97,100,1089
2020-12-20,78,177,1174
2020-12-21,43,139,1126
2020-12-22,15,78,1115
2020-12-23,62,147,960
2020-12-24,75,133,819
2020-12-25,86,134,852
2020-12-26,52,33,1011
2020-12-27,84,28,870
2020-12-28,32,59,840
2020-12-29,64,44,997
2020-12-30,89,122,1047
2020-12-31,84,41,987
2021-01-01,25,23,877
2021-01-02,17,173,1206
2021-01-03,13,48,841
2021-01-04,13,128,936
2021-01-05,65,117,1219
2021-01-06,34,56,1074
2021-01-07,76,94,880
2021-01-08,76,89,1125
2021-01-09,36,165,1196
2021-01-10,41,147,1151
2021-01-11,59,104,1032
2021-01-12,70,61,948
2021-01-13,60,119,954
2021-01-14,28,60,1045
2021-01-15,30,185,975
2021-01-16,14,53,1052
2021-01-17,91,36,1116
2021-01-18,51,184,1026
2021-01-19,70,172,1123
2021-01-20,31,141,1192
2021-01-21,30,95,999
2021-01-22,79,106,891
2021-01-23,10,136,1156
2021-01-24,14,125,1100
2021-01-25,21,105,933
2021-01-26,99,46,939
2021-01-27,55,76,1206
2021-01-28,43,50,1245
2021-01-29,58,153,1061
2021-01-30,87,187,1169
2021-01-31,99,117,1005
2021-02-01,54,31,1181
2021-02-02,36,72,1237
2021-02-03,82,157,1048
2021-02-04,35,192,1026
2021-02-05,56,164,1056
2021-02-06,95,173,1289
2021-02-07,65,141,1178
2021-02-08,72,65,1011
2021-02-09,57,83,1302
2021-02-10,70,149,1210
2021-02-11,90,73,1159
2021-02-12,35,126,1091
2021-02-13,45,70,956
2021-02-14,10,55,1089
2021-02-15,17,134,1168
2021-02-16,61,45,949
2021-02-17,88,48,1280
2021-02-18,56,168,1233
2021-02-19,65,30,942
2021-02-20,95,59,1247
2021-02-21,23,30,1324
2021-02-22,99,183,1248
2021-02-23,37,132,973
2021-02-24,96,58,1112
2021-02-25,87,73,961
2021-02-26,97,117,1264
2021-02-27,11,74,1209
2021-02-28,35,130,1347
2021-03-01,23,171,1091
2021-03-02,68,169,1322
2021-03-03,65,88,1096
2021-03-04,16,75,1047
2021-03-05,12,52,1311
2021-03-06,32,55,1281
2021-03-07,27,167,1249
2021-03-08,47,100,1178
2021-03-09,24,128,1307
2021-03-10,73,173,1018
2021-03-11,98,92,1122
2021-03-12,37,59,1157
2021-03-13,83,36,1036
2021-03-14,48,148,1165
2021-03-15,66,80,1102
2021-03-16,26,190,1129
2021-03-17,95,123,1295
2021-03-18,99,61,1041
2021-03-19,53,44,1327
2021-03-20,34,58,1292
2021-03-21,26,54,1169
2021-03-22,22,150,1161
2021-03-23,93,127,1319
2021-03-24,34,191,1266
2021-03-25,77,198,1051
2021-03-26,19,121,1100
2021-03-27,76,117,1265
2021-03-28,27,31,1056
2021-03-29,95,38,1065
2021-03-30,43,120,1115
2021-03-31,17,63,1014
2021-04-01,49,68,1114
2021-04-02,92,36,1209
2021-04-03,51,93,1277
2021-04-04,50,76,1382
2021-04-05,15,74,1391
2021-04-06,61,66,1371
2021-04-07,35,31,1070
2021-04-08,73,81,1380
2021-04-09,68,99,1338
2021-04-10,65,102,1337
2021-04-11,68,27,1175
2021-04-12,79,168,1302
2021-04-13,42,100,1405
2021-04-14,62,137,1161
2021-04-15,31,44,1145
2021-04-16,30,108,1199
2021-04-17,79,31,1190
2021-04-18,79,162,1190
2021-04-19,13,78,1167
2021-04-20,84,173,1368
2021-04-21,71,128,1326
2021-04-22,71,45,1145
2021-04-23,33,66,1113
2021-04-24,64,51,1403
2021-04-25,18,29,1288
2021-04-26,12,35,1178
2021-04-27,40,164,1381
2021-04-28,49,170,1344
2021-04-29,45,45,1194
2021-04-30,33,105,1462
2021-05-01,15,154,1467
2021-05-02,75,33,1202
2021-05-03,93,98,1133
2021-05-04,84,136,1199
2021-05-05,13,26,1080
2021-05-06,88,156,1320
2021-05-07,15,134,1373
2021-05-08,60,195,1181
2021-05-09,71,91,1213
2021-05-10,66,78,1207
2021-05-11,75,101,1139
2021-05-12,88,135,1182
2021-05-13,84,186,1332
2021-05-14,17,165,1470
